source_index,cycle_id,building_id,cycle_day,feature,feature_value,shap_recovery_effect
14,2025-3,Lags 1,21,missingindicator_environment_out_of_band_days_7d,0.0,-0.00020336176485869978
14,2025-3,Lags 1,21,missingindicator_environment_staleness_days,0.0,-0.00032576393730268405
15,2025-3,Lags 1,28,cycle_day,28.0,0.0044701192582479975
15,2025-3,Lags 1,28,percentage_alive,0.9391482537419816,0.0022142180717483594
15,2025-3,Lags 1,28,mortality_recent_3d_per_1000,1.4552150154430985,-0.00020636077724967965
15,2025-3,Lags 1,28,mortality_trend_delta_per_1000,0.0,0.00023782693322157912
15,2025-3,Lags 1,28,weight_gap_pct,28.666666666666647,0.00028043447943900426
15,2025-3,Lags 1,28,weight_staleness_days,0.0,-0.005471423018386334
15,2025-3,Lags 1,28,temperature_deviation_from_band_c,1.9140232108317328,0.0004214047415455163
15,2025-3,Lags 1,28,humidity_deviation_from_band_pp,21.248852890608177,0.002152627985964356
15,2025-3,Lags 1,28,environment_out_of_band_days_7d,7.0,0.0002739726246232703
15,2025-3,Lags 1,28,environment_staleness_days,0.0,-0.0001860943801169251
15,2025-3,Lags 1,28,is_lags_building,1.0,-0.0027125069133172313
15,2025-3,Lags 1,28,historical_building_recovery,0.9183681957667624,0.002005664069277527
15,2025-3,Lags 1,28,peer_delta_percentage_alive,-0.01205420710813021,-0.00020886675142609245
15,2025-3,Lags 1,28,peer_delta_weight_gap_pct,12.953333333333306,-1.6576665513474487e-05
15,2025-3,Lags 1,28,missingindicator_temperature_deviation_from_band_c,0.0,-0.0002475774591467212
15,2025-3,Lags 1,28,missingindicator_humidity_deviation_from_band_pp,0.0,-9.311548262145892e-05
15,2025-3,Lags 1,28,missingindicator_environment_out_of_band_days_7d,0.0,-0.0002527910408018369
15,2025-3,Lags 1,28,missingindicator_environment_staleness_days,0.0,-0.0003872046981519342
16,2025-3,Lags 1,48,cycle_day,48.0,0.015119837674241594
16,2025-3,Lags 1,48,percentage_alive,0.9025302922309336,0.0018771876806005833
16,2025-3,Lags 1,48,mortality_recent_3d_per_1000,1.2770254217153718,9.560786597325188e-05
16,2025-3,Lags 1,48,mortality_trend_delta_per_1000,0.0,0.00010216757789406775
